,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
7456,118-18,METROPOLITAN AVENUE,118-18 METROPOLITAN AVENUE,11415,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-01,40.706868,-73.834241,Kew Gardens,southwest queens
7458,4627,PARK AVENUE,4627 PARK AVENUE,10458,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-01,40.857923,-73.893079,Fordham South,fordham - bronx pk
7459,3100,BRIGHTON 2 STREET,3100 BRIGHTON 2 STREET,11235,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-01,40.576281,-73.965007,Brighton Beach,coney island - sheepshead bay
7462,1730,STERLING PLACE,1730 STERLING PLACE,11233,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2010-07-02,40.670949,-73.921435,Ocean Hill,bedford stuyvesant - crown heights
7467,351,SAND LANE,351 SAND LANE,10305,Staten Island,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-11-07,40.590902,-74.067183,Grasmere-Arrochar-Ft. Wadsworth,stapleton - st. george
7473,4,BOGARDUS PLACE,4 BOGARDUS PLACE,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-05-22,40.858895000000004,-73.929738,Washington Heights North,washington heights
7477,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-01,40.86381,-73.92730300000001,Washington Heights North,washington heights
7479,1033,OCEAN AVENUE,1033 OCEAN AVENUE,11226,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.637183,-73.95855,Flatbush,east flatbush - flatbush
7485,100,WEST 88 STREET,100 WEST 88 STREET,10024,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.787965,-73.97165600000001,Upper West Side,upper west side
7486,150,BRIGHTON 15 STREET,150 BRIGHTON 15 STREET,11235,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.578106,-73.954789,Brighton Beach,coney island - sheepshead bay
7487,100,WEST 88 STREET,100 WEST 88 STREET,10024,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.787965,-73.97165600000001,Upper West Side,upper west side
7488,560,WEST 165 STREET,560 WEST 165 STREET,10032,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.838794,-73.940416,Washington Heights South,washington heights
7490,456,GRAND STREET,456 GRAND STREET,11211,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.711227,-73.95259200000001,North Side-South Side,greenpoint
7493,541,WEST 150 STREET,541 WEST 150 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.828953999999996,-73.94659,Hamilton Heights,washington heights
7494,20,RICHMAN PLAZA,20 RICHMAN PLAZA,10453,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.851719,-73.92278,University Heights-Morris Heights,crotona -tremont
7499,410,ST NICHOLAS AVENUE,410 ST NICHOLAS AVENUE,10027,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.814225,-73.94952099999999,Central Harlem North-Polo Grounds,central harlem - morningside heights
7500,57,WEST 84 STREET,57 WEST 84 STREET,10024,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.784641,-73.971852,Upper West Side,upper west side
7501,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.86381,-73.92730300000001,Washington Heights North,washington heights
7503,840,EAST 17 STREET,840 EAST 17 STREET,11230,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.629998,-73.960385,Midwood,borough park
7504,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-02,40.86381,-73.92730300000001,Washington Heights North,washington heights
7505,622,WEST 136 STREET,622 WEST 136 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-03,40.821071999999994,-73.955321,Manhattanville,washington heights
7506,318,WEST 105 STREET,318 WEST 105 STREET,10025,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2010-07-19,40.801128000000006,-73.969476,Upper West Side,upper west side
7509,1425,AMSTERDAM AVENUE,1425 AMSTERDAM AVENUE,10027,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-10-19,40.815901000000004,-73.954415,Manhattanville,central harlem - morningside heights
7511,529,EAST 6 STREET,529 EAST 6 STREET,10009,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2012-12-11,40.725137,-73.983141,East Village,union square - lower east side
7512,950,EAST 14 STREET,950 EAST 14 STREET,11230,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-02-01,40.626255,-73.962556,Midwood,borough park
7513,1006,JEROME AVENUE,1006 JEROME AVENUE,10452,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-04-29,40.831803,-73.92608,West Concourse,high bridge - morrisania
