,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
57488,77,WEST 125 STREET,77 WEST 125 STREET,10027,Manhattan,Indoor Sewage,Sewage Leak,2019-05-28,40.807459,-73.944714,Central Harlem South,central harlem - morningside heights
57489,275,NEPTUNE AVENUE,275 NEPTUNE AVENUE,11235,Brooklyn,Indoor Sewage,Sewage Leak,2018-12-30,40.581219,-73.96347,Brighton Beach,coney island - sheepshead bay
57495,95,LEGION STREET,95 LEGION STREET,11212,Brooklyn,Indoor Sewage,Sewage Leak,2019-05-12,40.666771999999995,-73.917789,Brownsville,bedford stuyvesant - crown heights
57516,54-38,ARNOLD AVENUE,54-38 ARNOLD AVENUE,11378,Queens,Indoor Sewage,Sewage Leak,2019-04-16,40.713963,-73.910004,Ridgewood,west queens
57563,16,COURT STREET,16 COURT STREET,10304,Staten Island,Indoor Sewage,Sewage Leak,2019-05-19,40.626675,-74.08049,Stapleton-Rosebank,stapleton - st. george
57621,1513,ST MARKS AVENUE,1513 ST MARKS AVENUE,11233,Brooklyn,Indoor Sewage,Sewage Leak,2018-11-20,40.673446999999996,-73.917629,Ocean Hill,bedford stuyvesant - crown heights
57625,950,ALDUS STREET,950 ALDUS STREET,10459,Bronx,Indoor Sewage,Sewage Leak,2018-12-13,40.823099,-73.891184,Hunts Point,hunts point - mott haven
57676,216,23 STREET,216 23 STREET,11232,Brooklyn,Indoor Sewage,Sewage Leak,2019-03-18,40.660694,-73.995379,Sunset Park West,sunset park
57680,1012,FAILE STREET,1012 FAILE STREET,10459,Bronx,Indoor Sewage,Sewage Leak,2018-12-20,40.823723,-73.88951999999999,Hunts Point,hunts point - mott haven
57682,340,OLD BEACH 88 STREET,340 OLD BEACH 88 STREET,11693,Queens,Indoor Sewage,Sewage Leak,2019-01-03,40.589677,-73.81324599999999,Hammels-Arverne-Edgemere,rockaway
57687,273,BOWERY,273 BOWERY,10002,Manhattan,Indoor Sewage,Sewage Leak,2018-12-12,40.723628999999995,-73.99278100000001,Chinatown,lower east side
57733,1179,GRINNELL PLACE,1179 GRINNELL PLACE,10474,Bronx,Indoor Sewage,Sewage Leak,2019-02-07,40.812057,-73.893629,Hunts Point,hunts point - mott haven
57755,216,23 STREET,216 23 STREET,11232,Brooklyn,Indoor Sewage,Sewage Leak,2019-03-19,40.660694,-73.995379,Sunset Park West,sunset park
57771,156,WEST 166 STREET,156 WEST 166 STREET,10452,Bronx,Indoor Sewage,Sewage Leak,2019-05-10,40.835781,-73.928371,Highbridge,high bridge - morrisania
57780,153,DUMONT AVENUE,153 DUMONT AVENUE,11212,Brooklyn,Indoor Sewage,Sewage Leak,2019-01-09,40.66338,-73.914138,Brownsville,bedford stuyvesant - crown heights
57787,68,ST PAULS PLACE,68 ST PAULS PLACE,11226,Brooklyn,Indoor Sewage,Sewage Leak,2019-07-09,40.65207,-73.963277,Flatbush,east flatbush - flatbush
57798,1417,NOBLE AVENUE,1417 NOBLE AVENUE,10472,Bronx,Indoor Sewage,Sewage Leak,2019-07-05,40.83507,-73.87101,West Farms-Bronx River,pelham - throgs neck
57826,230-11,57 ROAD,230-11 57 ROAD,11364,Queens,Indoor Sewage,Sewage Leak,2019-02-24,40.753834000000005,-73.749423,Oakland Gardens,bayside - littleneck
57829,89-21,78 STREET,89-21 78 STREET,11421,Queens,Indoor Sewage,Sewage Leak,2019-07-21,40.688275,-73.863008,Woodhaven,southwest queens
57901,847,HART STREET,847 HART STREET,11237,Brooklyn,Indoor Sewage,Sewage Leak,2019-07-01,40.702298,-73.922394,Bushwick North,williamsburg - bushwick
57926,1117,ROGERS AVENUE,1117 ROGERS AVENUE,11226,Brooklyn,Indoor Sewage,Sewage Leak,2019-08-09,40.64253,-73.951582,Erasmus,east flatbush - flatbush
57928,9,MILL ROAD,9 MILL ROAD,10306,Staten Island,Indoor Sewage,Sewage Leak,2019-02-22,40.568463,-74.106868,New Dorp-Midland Beach,south beach - tottenville
57954,3,MILL ROAD,3 MILL ROAD,10306,Staten Island,Indoor Sewage,Sewage Leak,2019-02-22,40.56856,-74.106789,New Dorp-Midland Beach,south beach - tottenville
57986,84-49,125 STREET,84-49 125 STREET,11415,Queens,Indoor Sewage,Sewage Leak,2019-05-07,40.707198,-73.826954,Kew Gardens,southwest queens
58002,1,MILL ROAD,1 MILL ROAD,10306,Staten Island,Indoor Sewage,Sewage Leak,2019-02-22,40.568593,-74.106764,New Dorp-Midland Beach,south beach - tottenville
58011,132-20,89 STREET,132-20 89 STREET,11417,Queens,Indoor Sewage,Sewage Leak,2019-08-22,40.675728,-73.84778399999999,Ozone Park,southwest queens
58049,1310,JEFFERSON AVENUE,1310 JEFFERSON AVENUE,11221,Brooklyn,Indoor Sewage,Sewage Leak,2019-07-27,40.69312,-73.911464,Bushwick North,williamsburg - bushwick
58072,1719,GATES AVENUE,1719 GATES AVENUE,11385,Queens,Indoor Sewage,Sewage Leak,2019-07-07,40.702442,-73.909269,Ridgewood,ridgewood -forest hills
58075,2156,CRUGER AVENUE,2156 CRUGER AVENUE,10462,Bronx,Indoor Sewage,Sewage Leak,2019-07-08,40.855219,-73.866658,Pelham Parkway,pelham - throgs neck
58081,4,MILL ROAD,4 MILL ROAD,10306,Staten Island,Indoor Sewage,Sewage Leak,2019-02-22,40.568549,-74.106775,New Dorp-Midland Beach,south beach - tottenville
58102,669,ILYSSA WAY,669 ILYSSA WAY,10312,Staten Island,Indoor Sewage,Sewage Leak,2019-09-13,40.562775,-74.18705,Arden Heights,south beach - tottenville
58139,1259A,BERGEN STREET,1259A BERGEN STREET,11213,Brooklyn,Indoor Sewage,Sewage Leak,2019-09-20,40.675740999999995,-73.943226,Crown Heights North,bedford stuyvesant - crown heights
58142,7210,10 AVENUE,7210 10 AVENUE,11228,Brooklyn,Indoor Sewage,Sewage Leak,2019-04-14,40.625898,-74.01238199999999,Dyker Heights,bensonhurst - bay ridge
58149,14A,PRATT COURT,14A PRATT COURT,10312,Staten Island,Indoor Sewage,Sewage Leak,2019-09-22,40.554382000000004,-74.20124100000001,Arden Heights,south beach - tottenville
58175,105,BELMONT AVENUE,105 BELMONT AVENUE,11212,Brooklyn,Indoor Sewage,Sewage Leak,2019-08-20,40.669041,-73.906283,Brownsville,bedford stuyvesant - crown heights
58197,307,FLATBUSH AVENUE,307 FLATBUSH AVENUE,11217,Brooklyn,Indoor Sewage,Sewage Leak,2019-07-08,40.678546000000004,-73.97342900000001,Prospect Heights,downtown - heights - slope
58202,96,JAVA STREET,96 JAVA STREET,11222,Brooklyn,Indoor Sewage,Sewage Leak,2019-03-13,40.731367,-73.957002,Greenpoint,greenpoint
58218,154-06,107 AVENUE,154-06 107 AVENUE,11433,Queens,Indoor Sewage,Sewage Leak,2019-04-02,40.695372,-73.79894300000001,South Jamaica,jamaica
58222,298,LINDEN STREET,298 LINDEN STREET,11237,Brooklyn,Indoor Sewage,Sewage Leak,2019-07-02,40.698189,-73.914684,Bushwick North,williamsburg - bushwick
58227,190-19,JAMAICA AVENUE,190-19 JAMAICA AVENUE,11423,Queens,Indoor Sewage,Sewage Leak,2019-10-11,40.712146999999995,-73.769264,Hollis,jamaica
58236,637,LORIMER STREET,637 LORIMER STREET,11211,Brooklyn,Indoor Sewage,Sewage Leak,2019-10-08,40.715979,-73.949689,East Williamsburg,greenpoint
58246,509,RUTLAND ROAD,509 RUTLAND ROAD,11203,Brooklyn,Indoor Sewage,Sewage Leak,2019-06-24,40.659819,-73.943853,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
58249,2720,FARRAGUT ROAD,2720 FARRAGUT ROAD,11210,Brooklyn,Indoor Sewage,Sewage Leak,2019-08-14,40.63609,-73.95074699999999,Flatbush,east flatbush - flatbush
58256,30,HODGES PLACE,30 HODGES PLACE,10314,Staten Island,Indoor Sewage,Sewage Leak,2019-07-22,40.614166,-74.119566,Westerleigh,willowbrook
58262,120,SENECA STREET,120 SENECA STREET,10310,Staten Island,Indoor Sewage,Sewage Leak,2019-05-21,40.631613,-74.117763,West New Brighton-New Brighton-St. George,port richmond
58281,20-25,ELK DRIVE,20-25 ELK DRIVE,11691,Queens,Indoor Sewage,Sewage Leak,2019-07-08,40.598236,-73.754879,Far Rockaway-Bayswater,rockaway
58288,535,NEPTUNE AVENUE,535 NEPTUNE AVENUE,11224,Brooklyn,Indoor Sewage,Sewage Leak,2019-05-17,40.579887,-73.973065,West Brighton,coney island - sheepshead bay
58300,2905,ELY AVENUE,2905 ELY AVENUE,10469,Bronx,Indoor Sewage,Sewage Leak,2019-10-25,40.869971,-73.835885,Co-op City,northeast bronx
58345,638,4 AVENUE,638 4 AVENUE,11232,Brooklyn,Indoor Sewage,Sewage Leak,2019-05-06,40.664204999999995,-73.99414300000001,Park Slope-Gowanus,sunset park
58361,178,NEVINS STREET,178 NEVINS STREET,11217,Brooklyn,Indoor Sewage,Sewage Leak,2019-07-11,40.683156,-73.98464399999999,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
58364,171A,RIDGEWOOD AVENUE,171A RIDGEWOOD AVENUE,11208,Brooklyn,Indoor Sewage,Sewage Leak,2019-10-09,40.683171,-73.882384,Cypress Hills-City Line,east new york
58371,3821,18 AVENUE,3821 18 AVENUE,11218,Brooklyn,Indoor Sewage,Sewage Leak,2019-05-20,40.63391,-73.970456,Flatbush,borough park
